Date,Exchange_Rate,diffUstoKr,DXY,KOSPI,Oil
2020-10-12,1142.650024,-0.409999996,93.06999969,2403.72998,39.43000031
2020-10-13,1146.400024,-0.406999998,93.52999878,2403.149902,40.20000076
2020-10-14,1147.890015,-0.399999999,93.37999725,2380.47998,41.04000092
2020-10-15,1146.310059,-0.405000001,93.86000061,2361.209961,40.95999908
2020-10-16,1144.130005,-0.409999996,93.68000031,2341.530029,40.88000107
2020-10-19,1141.180054,-0.409999996,93.43000031,2346.73999,40.83000183
2020-10-20,1137,-0.405000001,93.06999969,2358.409912,41.45999908
2020-10-21,1136,-0.409999996,92.61000061,2370.860107,40.02999878
2020-10-22,1132.030029,-0.414999999,92.94999695,2355.050049,40.63999939
2020-10-23,1134.150024,-0.417000003,92.76999664,2360.810059,39.84999847
2020-10-26,1127.76001,-0.420000002,93.05000305,2343.909912,38.56000137
2020-10-27,1131.640015,-0.409999996,92.94000244,2330.840088,39.56999969
2020-10-28,1128.22998,-0.409999996,93.41000366,2345.26001,37.38999939
2020-10-29,1134.180054,-0.417000003,93.95999908,2326.669922,36.16999817
2020-10-30,1129.52002,-0.417000003,94.04000092,2267.149902,35.79000092
2020-11-02,1135.609985,-0.417000003,94.05000305,2300.159912,36.81000137
2020-11-03,1132.140015,-0.409999996,93.55000305,2343.310059,37.65999985
2020-11-04,1130.329956,-0.417000003,93.41000366,2357.320068,39.15000153
2020-11-05,1129.73999,-0.414999999,92.52999878,2413.790039,38.79000092
2020-11-06,1122.630005,-0.417000003,92.23000336,2416.5,37.13999939
2020-11-09,1121.150024,-0.412,92.73000336,2447.199951,40.29000092
2020-11-10,1118.689941,-0.409999996,92.75,2452.830078,41.36000061
2020-11-11,1116.079956,-0.409999996,93.04000092,2485.870117,41.45000076
2020-11-12,1111.449951,-0.414999999,92.95999908,2475.620117,41.11999893
2020-11-13,1114.910034,-0.417000003,92.76000214,2493.870117,40.13000107
2020-11-16,1107.76001,-0.424999997,92.56999969,2543.030029,41.34000015
2020-11-17,1106.089966,-0.420000002,92.41999817,2539.149902,41.43000031
2020-11-18,1104.949951,-0.424999997,92.31999969,2545.639893,41.81999969
2020-11-19,1105.900024,-0.440000001,92.29000092,2547.419922,41.74000168
2020-11-20,1114.140015,-0.442000002,92.38999939,2553.5,42.15000153
2020-11-23,1113.829956,-0.43,92.51000214,2602.590088,43.06000137
2020-11-24,1113.079956,-0.420000002,92.23000336,2617.76001,44.90999985
2020-11-25,1109.709961,-0.420000002,91.98999786,2601.540039,45.70999908
2020-11-26,1104.48999,-0.420000002,91.98999786,2625.909912,45.70999908
2020-11-27,1105.560059,-0.427000001,91.79000092,2633.449951,45.52999878
2020-11-30,1104.329956,-0.424999997,91.87000275,2591.340088,45.34000015
2020-12-01,1108.51001,-0.420000002,91.30999756,2634.25,44.54999924
2020-12-02,1106.280029,-0.424999997,91.12000275,2675.899902,45.27999878
2020-12-03,1099.380005,-0.424999997,90.70999908,2696.219971,45.63999939
2020-12-04,1091.319946,-0.424999997,90.69999695,2731.449951,46.25999832
2020-12-07,1083.780029,-0.43,90.79000092,2745.439941,45.75999832
2020-12-08,1083.680054,-0.431999996,90.97000122,2700.929932,45.59999847
2020-12-09,1084.859985,-0.43,91.08999634,2755.469971,45.52000046
2020-12-10,1086.359985,-0.43,90.79000092,2746.459961,46.77999878
2020-12-11,1086.369995,-0.435000002,90.98000336,2770.060059,46.56999969
2020-12-14,1091.579956,-0.440000001,90.70999908,2762.199951,46.99000168
2020-12-15,1092.060059,-0.43,90.47000122,2756.820068,47.61999893
2020-12-16,1088.209961,-0.424999997,90.44999695,2771.790039,47.81999969
2020-12-17,1091.650024,-0.420000002,89.81999969,2770.429932,48.36000061
2020-12-18,1092.160034,-0.420000002,90.01999664,2772.179932,49.09999847
2020-12-21,1098.97998,-0.421999998,90.04000092,2778.649902,47.74000168
2020-12-22,1101.859985,-0.421999998,90.65000153,2733.679932,47.02000046
2020-12-23,1107.97998,-0.424999997,90.41000366,2759.820068,48.11999893
2020-12-24,1104.800049,-0.424999997,90.33000183,2806.860107,48.22999954
2020-12-25,1099.910034,-0.424999997,90.33000183,2806.860107,48.22999954
2020-12-28,1099.089966,-0.420000002,90.33999634,2808.600098,47.61999893
2020-12-29,1095,-0.409999996,90.01000214,2820.51001,48
2020-12-30,1092.619995,-0.43,89.62999725,2873.469971,48.40000153
2020-12-31,1086.420044,-0.435000002,89.94000244,2873.469971,48.52000046
2021-01-01,1084.650024,-0.435000002,89.94000244,2873.469971,48.52000046
2021-01-04,1084.72998,-0.431999996,89.87999725,2944.449951,47.61999893
2021-01-05,1086.619995,-0.421999998,89.44000244,2990.570068,49.93000031
2021-01-06,1086.449951,-0.421999998,89.52999878,2968.209961,50.63000107
2021-01-07,1086.949951,-0.420000002,89.83000183,3031.679932,50.83000183
2021-01-08,1093.069946,-0.420000002,90.09999847,3152.179932,52.24000168
2021-01-11,1092.819946,-0.420000002,90.54000092,3148.449951,52.25
2021-01-12,1096.449951,-0.420000002,90.05000305,3125.949951,53.20999908
2021-01-13,1093.540039,-0.420000002,90.31999969,3148.290039,52.90999985
2021-01-14,1097.109985,-0.424999997,90.23999786,3149.929932,53.56999969
2021-01-15,1094.900024,-0.424999997,90.77999878,3085.899902,52.36000061
2021-01-18,1102.959961,-0.424999997,90.77999878,3013.929932,52.36000061
2021-01-19,1103.099976,-0.427000001,90.5,3092.659912,52.97999954
